timestamp,q_x,q_y,q_z,q_w
1751120445.1086462,-0.00010400492609222156,-0.00021335721175463895,0.00017297496999041373,0.9999999568706668
1751120445.1137333,-0.00010400492609222156,-0.00021335721175463895,0.00017297496999041373,0.9999999568706668
1751120445.117701,-0.00010400492609222156,-0.00021335721175463895,0.00017297496999041373,0.9999999568706668
1751120445.1187165,-0.00010400492609222156,-0.00021335721175463895,0.00017297496999041373,0.9999999568706668
1751120445.1213036,-0.00010400492609222156,-0.00021335721175463895,0.00017297496999041373,0.9999999568706668
1751120445.1243756,-0.00010400492609222156,-0.00021335721175463895,0.00017297496999041373,0.9999999568706668
1751120445.1275668,-0.00010400492609222156,-0.00021335721175463895,0.00017297496999041373,0.9999999568706668
1751120445.1310496,-0.00010400492609222156,-0.00021335721175463895,0.00017297496999041373,0.9999999568706668
1751120445.1327038,-0.00010400492609222156,-0.00021335721175463895,0.00017297496999041373,0.9999999568706668
1751120445.1377256,-0.00010400492609222156,-0.00021335721175463895,0.00017297496999041373,0.9999999568706668
1751120445.1386814,-0.00010400492609222156,-0.00021335721175463895,0.00017297496999041373,0.9999999568706668
1751120445.1406658,-0.00010400492609222156,-0.00021335721175463895,0.00017297496999041373,0.9999999568706668
1751120445.144196,-0.00010400492609222156,-0.00021335721175463895,0.00017297496999041373,0.9999999568706668
1751120445.1452665,-0.00010400492609222156,-0.00021335721175463895,0.00017297496999041373,0.9999999568706668
1751120445.1495,-0.00010400492609222156,-0.00021335721175463895,0.00017297496999041373,0.9999999568706668
1751120445.1503043,-0.00010400492609222156,-0.00021335721175463895,0.00017297496999041373,0.9999999568706668
1751120445.1528573,-0.00010400492609222156,-0.00021335721175463895,0.00017297496999041373,0.9999999568706668
1751120445.1582327,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.1672506,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.1718328,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.1729147,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.1739283,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.1781793,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.1790872,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.179951,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.1878145,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.188658,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.192942,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.1939042,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.1947427,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.202799,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.2037494,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.2081637,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.214186,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.2165258,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.217505,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.2183092,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.2214346,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.2241967,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.2309103,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.2318602,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
1751120445.2356768,-0.00010426624068610169,-0.00017782563127480278,9.431051875641305e-05,0.9999999743060607
