timestamp,pos_x,pos_y,pos_z,q_x,q_y,q_z,q_w
1751120445.12797,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.152754,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.1720848,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.1868963,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.2125936,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.2327292,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.2508407,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.2718303,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.2876246,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.311962,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.3210125,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.3520312,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.3725548,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.390764,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.4130433,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.4314477,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.4513488,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.468666,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.485721,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.5116425,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.5291333,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.550344,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.5718725,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.5904133,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.6118894,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.6291547,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.648515,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.6719866,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.691988,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.7119052,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.733131,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.7475388,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.7723074,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.7924223,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.810743,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.8334856,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.8531575,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.8671372,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.8931599,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.910651,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.9305713,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.9525785,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.9717498,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120445.9929209,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120446.0121424,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120446.0314882,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120446.0525253,0.0,0.0,0.0,0.0,0.0,0.0,1.0
